Id,Code,StateId,MunicipalityId,LocalityId,IsBorderZone,TimeZone,TimeZoneOffset
0003-20305,20305,AGU,AGU-011,0003,0,Tiempo del Centro,-6
0000-20306,20306,AGU,AGU-011,0000,0,Tiempo del Centro,-6
0000-20307,20307,AGU,,0000,0,Tiempo del Centro,-6
0000-20308,20308,AGU,,0000,0,Tiempo del Centro,-6
0000-20309,20309,AGU,,0000,0,Tiempo del Centro,-6
0000-20310,20310,AGU,AGU-001,0000,0,Tiempo del Centro,-6
0000-20311,20311,AGU,AGU-001,0000,0,Tiempo del Centro,-6
0000-20312,20312,AGU,,0000,0,Tiempo del Centro,-6
0000-20313,20313,AGU,AGU-001,0000,0,Tiempo del Centro,-6
0000-20314,20314,AGU,AGU-001,0000,0,Tiempo del Centro,-6
0000-20315,20315,AGU,AGU-001,0000,0,Tiempo del Centro,-6
0000-20316,20316,AGU,AGU-001,0000,0,Tiempo del Centro,-6
0000-20317,20317,AGU,AGU-001,0000,0,Tiempo del Centro,-6
0000-20318,20318,AGU,,0000,0,Tiempo del Centro,-6
0000-20319,20319,AGU,AGU-001,0000,0,Tiempo del Centro,-6
0000-20320,20320,AGU,AGU-001,0000,0,Tiempo del Centro,-6
0000-20321,20321,AGU,AGU-001,0000,0,Tiempo del Centro,-6
0000-20322,20322,AGU,AGU-001,0000,0,Tiempo del Centro,-6
0000-20323,20323,AGU,AGU-001,0000,0,Tiempo del Centro,-6
0000-20324,20324,AGU,AGU-001,0000,0,Tiempo del Centro,-6
0000-20325,20325,AGU,,0000,0,Tiempo del Centro,-6
0000-20326,20326,AGU,AGU-001,0000,0,Tiempo del Centro,-6
0000-20327,20327,AGU,,0000,0,Tiempo del Centro,-6
0000-20328,20328,AGU,AGU-001,0000,0,Tiempo del Centro,-6
0000-20329,20329,AGU,AGU-001,0000,0,Tiempo del Centro,-6
0000-20330,20330,AGU,AGU-010,0000,0,Tiempo del Centro,-6
0000-20331,20331,AGU,,0000,0,Tiempo del Centro,-6
0000-20332,20332,AGU,,0000,0,Tiempo del Centro,-6
0000-20333,20333,AGU,AGU-010,0000,0,Tiempo del Centro,-6
0000-20334,20334,AGU,AGU-010,0000,0,Tiempo del Centro,-6
0000-20335,20335,AGU,AGU-010,0000,0,Tiempo del Centro,-6
0000-20336,20336,AGU,AGU-010,0000,0,Tiempo del Centro,-6
0000-20337,20337,AGU,AGU-010,0000,0,Tiempo del Centro,-6
0000-20338,20338,AGU,AGU-010,0000,0,Tiempo del Centro,-6
0000-20339,20339,AGU,AGU-010,0000,0,Tiempo del Centro,-6
0000-20340,20340,AGU,AGU-001,0000,0,Tiempo del Centro,-6
0000-20341,20341,AGU,AGU-001,0000,0,Tiempo del Centro,-6
0000-20342,20342,AGU,AGU-001,0000,0,Tiempo del Centro,-6
0000-20343,20343,AGU,,0000,0,Tiempo del Centro,-6
0000-20344,20344,AGU,AGU-001,0000,0,Tiempo del Centro,-6
0000-20345,20345,AGU,AGU-001,0000,0,Tiempo del Centro,-6
0000-20346,20346,AGU,AGU-001,0000,0,Tiempo del Centro,-6
0000-20347,20347,AGU,,0000,0,Tiempo del Centro,-6
0000-20348,20348,AGU,AGU-001,0000,0,Tiempo del Centro,-6
0000-20349,20349,AGU,AGU-001,0000,0,Tiempo del Centro,-6
0000-20350,20350,AGU,AGU-011,0000,0,Tiempo del Centro,-6
0000-20351,20351,AGU,,0000,0,Tiempo del Centro,-6
0000-20352,20352,AGU,,0000,0,Tiempo del Centro,-6
0000-20353,20353,AGU,AGU-011,0000,0,Tiempo del Centro,-6
0000-20354,20354,AGU,,0000,0,Tiempo del Centro,-6
0000-20355,20355,AGU,AGU-011,0000,0,Tiempo del Centro,-6
0000-20356,20356,AGU,AGU-011,0000,0,Tiempo del Centro,-6
0000-20357,20357,AGU,AGU-011,0000,0,Tiempo del Centro,-6
0000-20358,20358,AGU,AGU-011,0000,0,Tiempo del Centro,-6
0000-20359,20359,AGU,,0000,0,Tiempo del Centro,-6
0000-20360,20360,AGU,,0000,0,Tiempo del Centro,-6
0000-20361,20361,AGU,,0000,0,Tiempo del Centro,-6
0000-20362,20362,AGU,,0000,0,Tiempo del Centro,-6
0000-20363,20363,AGU,AGU-001,0000,0,Tiempo del Centro,-6
0000-20364,20364,AGU,AGU-001,0000,0,Tiempo del Centro,-6
0000-20365,20365,AGU,,0000,0,Tiempo del Centro,-6
0000-20366,20366,AGU,AGU-001,0000,0,Tiempo del Centro,-6
0000-20367,20367,AGU,AGU-001,0000,0,Tiempo del Centro,-6
0000-20368,20368,AGU,,0000,0,Tiempo del Centro,-6
0000-20369,20369,AGU,AGU-001,0000,0,Tiempo del Centro,-6
0000-20370,20370,AGU,AGU-001,0000,0,Tiempo del Centro,-6
0000-20371,20371,AGU,AGU-001,0000,0,Tiempo del Centro,-6
0000-20372,20372,AGU,AGU-001,0000,0,Tiempo del Centro,-6
0000-20373,20373,AGU,AGU-001,0000,0,Tiempo del Centro,-6
0000-20374,20374,AGU,,0000,0,Tiempo del Centro,-6
0000-20375,20375,AGU,AGU-001,0000,0,Tiempo del Centro,-6
0000-20376,20376,AGU,AGU-001,0000,0,Tiempo del Centro,-6
0000-20377,20377,AGU,AGU-001,0000,0,Tiempo del Centro,-6
0000-20378,20378,AGU,,0000,0,Tiempo del Centro,-6
0000-20379,20379,AGU,AGU-001,0000,0,Tiempo del Centro,-6
0000-20380,20380,AGU,,0000,0,Tiempo del Centro,-6
0000-20381,20381,AGU,,0000,0,Tiempo del Centro,-6
0000-20382,20382,AGU,,0000,0,Tiempo del Centro,-6
0000-20383,20383,AGU,,0000,0,Tiempo del Centro,-6
0000-20384,20384,AGU,AGU-001,0000,0,Tiempo del Centro,-6
0000-20385,20385,AGU,AGU-001,0000,0,Tiempo del Centro,-6
0000-20386,20386,AGU,AGU-001,0000,0,Tiempo del Centro,-6
0000-20387,20387,AGU,,0000,0,Tiempo del Centro,-6
0000-20388,20388,AGU,AGU-001,0000,0,Tiempo del Centro,-6
0000-20389,20389,AGU,AGU-001,0000,0,Tiempo del Centro,-6
0000-20390,20390,AGU,AGU-001,0000,0,Tiempo del Centro,-6
0000-20391,20391,AGU,AGU-001,0000,0,Tiempo del Centro,-6
0000-20392,20392,AGU,AGU-001,0000,0,Tiempo del Centro,-6
0000-20393,20393,AGU,AGU-001,0000,0,Tiempo del Centro,-6
0000-20394,20394,AGU,AGU-001,0000,0,Tiempo del Centro,-6
0000-20395,20395,AGU,AGU-001,0000,0,Tiempo del Centro,-6
0000-20396,20396,AGU,AGU-001,0000,0,Tiempo del Centro,-6
0000-20397,20397,AGU,,0000,0,Tiempo del Centro,-6
0000-20398,20398,AGU,,0000,0,Tiempo del Centro,-6
0000-20399,20399,AGU,AGU-001,0000,0,Tiempo del Centro,-6
0006-20400,20400,AGU,AGU-007,0006,0,Tiempo del Centro,-6
0000-20401,20401,AGU,,0000,0,Tiempo del Centro,-6
0000-20402,20402,AGU,,0000,0,Tiempo del Centro,-6
0006-20403,20403,AGU,AGU-007,0006,0,Tiempo del Centro,-6
